number,value,params_dense_0,params_dense_1,params_dense_2,params_drop_conv_0,params_drop_conv_1,params_drop_conv_2,params_drop_conv_3,params_drop_dense_0,params_drop_dense_1,params_drop_dense_2,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_lr,params_num_conv_layers,params_num_dense_layers,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,user_attrs_Denisovan_recall,user_attrs_Neanderthal_recall,user_attrs_raw_val_acc
0,,128,128.0,,0.47356650670063294,0.47090100414834424,0.5476311538731025,0.49157300004842974,0.4423473814014599,0.3442854571376851,,256,64,64.0,128.0,1.6798061780649238e-05,4,2,0.0003131883323866621,19,9,5.0,7.0,,,
1,0.7703393799056577,256,64.0,,0.2525271856859932,0.15026004090513548,0.1834348283403451,0.5465286582643485,0.37696586948984084,0.35751436764154426,,128,128,128.0,64.0,2.601902292415848e-05,4,2,0.001695928874792827,9,19,5.0,7.0,0.6154,0.9252,0.7737
2,0.771072113951914,128,,,0.433294832163614,0.2695600738284204,,,0.36586806789488374,,,128,32,,,8.774398565502132e-05,2,1,0.0011759187101258379,5,19,,,0.6689,0.8733,0.7733
3,0.7712399799996494,64,64.0,,0.3109660337446497,0.3178533332552139,0.10789012690205971,0.17838839831812378,0.42252942609728905,0.3070960548789884,,64,32,64.0,256.0,0.0007103694409912393,4,2,0.0010551718599019538,15,19,19.0,7.0,0.6296,0.9128,0.7743
4,0.7634306611384674,256,256.0,,0.18266533535060878,0.21561856933644571,0.4022334435325283,,0.46789223085633147,0.33145413530616563,,32,32,64.0,,7.842058840586522e-05,3,2,0.000214148904140388,15,9,11.0,,0.6196,0.9072,0.7665
5,0.7703147551000477,64,,,0.2527066279211191,0.27755405462196026,0.20249118846943157,,0.3969213520385388,,,128,64,256.0,,0.0022440703513705368,3,1,0.006296299262309232,15,19,19.0,,0.6426,0.898,0.7731
6,0.7562622550144869,64,128.0,256.0,0.4221151131106038,0.16733290304495943,0.45074813326467533,0.4540156804754406,0.42585638463699116,0.4715526776531297,0.45485975062805706,64,64,64.0,256.0,3.785190205939497e-05,4,3,0.002663884632863109,5,11,11.0,19.0,0.6965,0.8161,0.7576
7,0.7635191434908292,128,128.0,,0.5924064674019358,0.13616060492554735,0.4859847002386831,0.17548805693055933,0.48390441619340496,0.4522697505435537,,128,32,128.0,256.0,1.946767420698509e-05,4,2,0.0009991479392519223,11,19,11.0,5.0,0.6238,0.9032,0.7665
8,0.7601169135686018,64,64.0,,0.44673744061168164,0.17968613309368772,0.48626580231365435,0.458944929949192,0.3856205533007187,0.38656026906433216,,256,64,32.0,32.0,0.003166863722741148,4,2,0.0013559223798238422,15,7,19.0,5.0,0.6142,0.906,0.7633
9,0.762852186891423,256,64.0,64.0,0.17538398272485475,0.3141134197955201,0.49988912119886,0.12676112754346278,0.38577780437313125,0.3545518295807363,0.30642324976930474,32,32,128.0,32.0,0.001295663769876264,4,3,0.002176441075782741,15,15,15.0,19.0,0.6301,0.8956,0.7657
10,0.7628117855154388,64,64.0,64.0,0.29340291517943795,0.5773606449029799,0.4051101152757183,,0.39800073601314434,0.4685192938819953,0.5551254478839271,64,32,128.0,,0.00859301426785685,3,3,0.0002513370196554018,19,7,15.0,,0.6848,0.8409,0.7645
11,0.7579711330499116,64,,,0.5796751934530425,0.45677727799282747,,,0.3039534918604041,,,64,256,,,0.0005110657501548682,2,1,0.00048082756952277873,7,5,,,0.6639,0.8521,0.76
12,0.7723120355198213,128,,,0.40258434739337373,0.40034201361933075,,,0.5709223425310659,,,256,32,,,0.00015186432176631675,2,1,0.0006285271308918534,5,19,,,0.6142,0.9304,0.7757
13,0.7670715429903195,128,,,0.34942142137996446,0.41812511788999224,,,0.5509392442434404,,,256,128,,,0.0002169478010659051,2,1,0.0005313132269199386,5,19,,,0.5933,0.9408,0.7708
14,0.7740175745985531,128,,,0.37014962090976955,0.38990324196317616,0.10150876319571867,,0.5880564197979933,,,256,256,64.0,,0.0003231278096315811,3,1,0.0001289157327445537,7,9,9.0,,0.6192,0.9288,0.7774
15,0.7696690843495586,128,,,0.47293275977627336,0.4240708060270524,0.30258240622890226,,0.5991491774429365,,,256,256,32.0,,0.00017705356503695393,3,1,0.00010091694611369586,7,9,9.0,,0.6593,0.88,0.7721
16,0.761194478367317,128,,,0.38918717931206503,0.5101322676526268,,,0.5321925310412284,,,256,256,,,0.0002899628132743611,2,1,0.0001101732733167886,7,9,,,0.6367,0.8856,0.7639
17,0.7598553063117133,128,,,0.5184610452681967,0.37393711135255836,0.2908289012540144,,0.5939468566208836,,,256,256,256.0,,1.0807042314425325e-05,3,1,0.00025391252943184213,19,15,9.0,,0.6585,0.8613,0.7621
18,0.7676925889351983,128,,,0.36855014223429394,0.5267210775448538,,,0.5240121507815156,,,256,256,,,6.11284271891363e-05,2,1,0.00046773737127586934,11,5,,,0.6038,0.9316,0.7712
19,0.7697166644824325,128,,,0.11687688039120492,0.3890375793159948,,,0.567933488458136,,,256,128,,,0.00014120487453738527,2,1,0.008368379048581336,9,11,,,0.6238,0.9156,0.7729
20,0.7632943482314798,128,256.0,,0.5003976462189579,0.46026198696139764,0.5656867888905686,,0.4989584869566267,0.5783929322115022,,256,256,64.0,,0.0005327238052935631,3,2,0.0038194572810755115,5,9,7.0,,0.6038,0.9228,0.7667
21,0.7642477873151365,128,128.0,,0.31962832454406886,0.3297983994675728,,,0.5684930426435686,0.5750380915818598,,32,256,,,0.0010337921006839297,2,2,0.0006918182905653052,7,9,,,0.5733,0.9552,0.7684
22,0.7692037172604862,64,64.0,,0.29975223430832537,0.3390234495019583,0.10043327717077227,0.27324719060511976,0.4406495188425491,0.30623370548706336,,64,32,64.0,128.0,0.0003906839701937966,4,2,0.00015043350787505362,5,19,9.0,7.0,0.6468,0.8916,0.7719
23,0.7742351911010126,64,256.0,128.0,0.38757379580704937,0.2608781192288091,0.10148391097522043,,0.5244246351742042,0.40573513681456974,0.30565177835290946,64,32,64.0,,0.000936263345625917,3,3,0.0007583083020173075,15,19,19.0,,0.62,0.9284,0.7776
24,0.7676978477919897,256,256.0,128.0,0.3977144443520221,0.24892458619725072,0.18551171014794504,,0.5082809738864587,0.5217271671117675,0.31549433611627115,64,32,64.0,,0.0019190630336467448,3,3,0.00036427623617710193,7,19,7.0,,0.5946,0.9408,0.7714
25,0.7633087057452592,128,256.0,128.0,0.3536345685784271,0.37899387849600336,0.23267712476315333,,0.5687257225278713,0.5219293837264205,0.4089141927386805,256,32,64.0,,0.005180981326242415,3,3,0.0007148987899963017,19,7,5.0,,0.6422,0.8844,0.7659
26,0.7761937396231486,64,,,0.5392967752504318,0.10171803488361833,0.14342700119198235,,0.541358082335598,,,256,32,64.0,,0.0010214088153768087,3,1,0.0003508007641915562,9,15,19.0,,0.6276,0.9248,0.7794
27,0.7672449183165982,64,256.0,128.0,0.5450121360363847,0.10367328996340999,0.14083005925573297,,0.5374335565965126,0.4028182189172402,0.41405826279133595,64,128,64.0,,0.0010031016391365472,3,3,0.00015750680346954664,9,15,19.0,,0.5921,0.9424,0.771
28,0.7649927085533219,64,256.0,,0.4676545536712348,0.2100840035076414,0.1406908590399391,,0.5097108670446702,0.4132601754391501,,32,64,64.0,,0.00374724514273822,3,2,0.0003526595009215805,9,15,19.0,,0.5896,0.9404,0.7688
29,0.7675440888362818,64,,,0.5496930206621548,0.20610695533300916,0.24666450184920696,,0.4690950062038316,,,256,32,64.0,,0.0017962771404320928,3,1,0.00017707422298507612,9,15,9.0,,0.6251,0.91,0.7706
30,0.7716627753908876,256,256.0,256.0,0.26676830313626976,0.10516815918458255,0.15310599848057083,,0.5510999301120374,0.5183351652369558,0.5921455103714709,128,128,256.0,,0.0007347511138329181,3,3,0.00031959374922819464,9,5,19.0,,0.6213,0.922,0.7749
31,0.7760646054730509,64,,,0.513667854678849,0.2774416990389216,0.10115035033205799,,0.5836280699458167,,,64,256,32.0,,0.0003162502493115118,3,1,0.00012898101154751345,11,11,19.0,,0.6309,0.9212,0.7792
32,0.7738002085178455,64,,,0.5212986943374488,0.27909487477999273,0.11822069501510556,,0.582210275511938,,,64,256,32.0,,0.0002940692809123637,3,1,0.00013102234473892876,11,11,19.0,,0.6656,0.882,0.7761
33,0.7741945393032765,64,,,0.4781554789138183,0.2434007140151797,0.16517184717738734,,0.549751925369037,,,64,256,32.0,,0.00037221681333379775,3,1,0.00023516932882896064,11,11,19.0,,0.6276,0.9208,0.7774
34,0.7722981788495458,64,,,0.4896886283707682,0.2451554025566449,0.1656925693762189,,0.548662998962644,,,64,256,32.0,,0.0006467080970132119,3,1,0.000229780355942007,11,11,19.0,,0.6701,0.8745,0.7745
35,0.7636131351217341,64,,,0.5540716502460021,0.30117682402089074,0.23361457637164396,,0.5210448152375479,,,64,32,32.0,,0.00011301184731857838,3,1,0.0009009905783033081,11,11,19.0,,0.666,0.8613,0.7657
36,0.7724873307461984,64,128.0,,0.4602668591870527,0.24008362518056345,0.21267902743640693,,0.5464798109250981,0.4300990041972859,,64,256,32.0,,0.0010017261028359287,3,2,0.00020210982075283873,11,11,19.0,,0.6413,0.9036,0.7753
37,0.7733774131266073,64,,,0.4374432105964895,0.14377375608967882,0.26827116021910224,,0.47097789361012987,,,64,32,32.0,,0.00045742245485080115,3,1,0.0003544543194825521,15,11,19.0,,0.6739,0.8729,0.7755
38,0.7758948195252171,64,256.0,,0.507792466017301,0.28885326080358587,0.14700636571588066,0.32749004865085896,0.4999196793151197,0.3729910662769417,,64,64,32.0,128.0,0.00022997531640696657,4,2,0.001424926334582546,11,11,19.0,9.0,0.6418,0.91,0.7788
39,0.7666913192969159,64,256.0,,0.59899210513422,0.2962843220494179,0.3369250293710337,0.3271758607366546,0.4918474229167779,0.37709155272588746,,128,64,32.0,128.0,8.807763828219782e-05,4,2,0.0017257913191760991,11,11,5.0,9.0,0.6225,0.9108,0.7698
40,0.7675758923987817,64,256.0,,0.5225399688051813,0.17931419750503555,0.134315789724122,0.40007553314207106,0.4488574411202721,0.43310549705475526,,64,64,32.0,128.0,4.7867961380959956e-05,4,2,0.0012732180493652382,15,15,19.0,11.0,0.6171,0.918,0.7708
41,0.7697802716074322,64,256.0,128.0,0.2141083336084131,0.26689111362285906,0.18910795373113648,0.5830358030481264,0.48346402091441143,0.4922284201971881,0.3677689647205267,64,64,256.0,64.0,0.001406870500611575,4,3,0.0026585195861200464,15,19,19.0,9.0,0.6079,0.9316,0.7733
42,0.7700493080429623,64,,,0.4914558486129039,0.356432329854216,0.16526759750537717,,0.5171292859753588,,,64,64,32.0,,0.00024871395557096173,3,1,0.0008461871416773127,11,11,19.0,,0.6301,0.91,0.7731
43,0.7728216437850747,64,256.0,,0.5667640208868835,0.23396946942226746,0.12290033778760928,,0.5325174963845623,0.34041133988647265,,64,32,32.0,,0.0008492794352322881,3,2,0.00027228769360106625,11,11,19.0,,0.6288,0.9168,0.7759
44,0.7715477483328171,64,,,0.4236658089785664,0.1959513538268704,0.16754335635220885,,0.5573405432146851,,,64,64,32.0,,0.0004123864776849013,3,1,0.00155447445249998,11,11,19.0,,0.6159,0.9272,0.7749
45,0.7749607463903792,64,,,0.5302958886597708,0.27585687500577255,0.13081322799445058,0.27064763051972585,0.32214745261695926,,,64,32,32.0,128.0,0.0002013818406110806,4,1,0.0004623818773603773,11,11,19.0,15.0,0.6543,0.8956,0.7776
46,0.7489395890912947,256,256.0,128.0,0.5288114098495893,0.2844413116090591,0.20486511878383845,0.2712462859349231,0.33333151871926403,0.3876637568845895,0.4937606314877432,32,32,64.0,128.0,0.0002056747997142202,4,3,0.0011295086351305723,15,7,11.0,15.0,0.7094,0.7885,0.7498
47,0.7714929894430538,64,256.0,,0.572812761784133,0.31258977086128353,0.12741540534015758,0.2801610751508723,0.3378005122249684,0.4142564868024522,,128,32,128.0,128.0,0.0006175472439856367,4,2,0.0005536679039248671,11,11,15.0,15.0,0.6322,0.9108,0.7745
48,0.7492153034402105,64,,,0.5041584323949126,0.16132381840412413,0.10077367656178882,0.3589481863806171,0.3606095925369013,,,64,32,32.0,128.0,0.0027880223435600635,4,1,0.0004231345678710797,9,19,7.0,9.0,0.6564,0.8421,0.7512
49,0.7759354713229532,64,128.0,,0.4557517690434431,0.2613863658579505,0.14907632843635718,0.22016587383045005,0.41196910693667727,0.3338345752664984,,64,32,64.0,128.0,0.00011026832142287175,4,2,0.0018929154041979336,19,15,5.0,15.0,0.6342,0.9176,0.779
50,0.762657776137979,64,128.0,,0.4531038248648587,0.34755017847504477,0.2115950691853103,0.21279803352644083,0.42696164754142046,0.3259846028797119,,64,32,32.0,128.0,2.521185957909429e-05,4,2,0.003196578515830386,19,15,5.0,15.0,0.6681,0.8573,0.7647
