timestamp,model,dataset,class,precision,recall,f1,support,accuracy,mcc,macro_f1,weighted_f1
20260510_151211,rnn,bottleneck,Human,0.6204,0.7459,0.6773,964,0.6374,0.2774,0.6317,0.6327
20260510_151211,rnn,bottleneck,Denisovan,0.6644,0.5243,0.5861,925,0.6374,0.2774,0.6317,0.6327
20260510_151425,rnn,DenisovanvsNeanderthal,Denisovan,0.9139,0.6099,0.7316,905,0.7833,0.5941,0.775,0.7763
20260510_151425,rnn,DenisovanvsNeanderthal,Neanderthal,0.7209,0.9461,0.8183,964,0.7833,0.5941,0.775,0.7763
20260510_151855,rnn,HumanvsNeanderthal,Human,0.7426,0.6525,0.6946,964,0.7132,0.4295,0.7121,0.7121
20260510_151855,rnn,HumanvsNeanderthal,Neanderthal,0.6901,0.7739,0.7296,964,0.7132,0.4295,0.7121,0.7121
20260510_152236,rnn,longerbp,Human,0.6182,0.7632,0.6831,2631,0.5993,0.1607,0.5691,0.5841
20260510_152236,rnn,longerbp,Denisovan,0.5553,0.3855,0.4551,2018,0.5993,0.1607,0.5691,0.5841
20260510_152459,rnn,original,Human,0.6153,0.0502,0.0928,30059,0.4206,0.0113,0.3336,0.29
20260510_152459,rnn,original,Denisovan,0.4108,0.9548,0.5744,20847,0.4206,0.0113,0.3336,0.29
20260510_152931,rnn,multiclass,Human,0.5259,0.4004,0.4547,964,0.5643,0.3557,0.5506,0.5509
20260510_152931,rnn,multiclass,Denisovan,0.6315,0.4675,0.5373,909,0.5643,0.3557,0.5506,0.5509
20260510_152931,rnn,multiclass,Neanderthal,0.5524,0.8195,0.66,964,0.5643,0.3557,0.5506,0.5509
20260518_095223,danq,HumanvsNeanderthal,Human,0.7002,0.7293,0.7144,964,0.7085,0.4174,0.7084,0.7084
20260518_095223,danq,HumanvsNeanderthal,Neanderthal,0.7175,0.6878,0.7023,964,0.7085,0.4174,0.7084,0.7084
20260518_095538,danq,original,Human,0.6618,0.2682,0.3817,30059,0.4869,0.0813,0.4716,0.4553
20260518_095538,danq,original,Denisovan,0.4319,0.8024,0.5616,20847,0.4869,0.0813,0.4716,0.4553
20260518_095612,danq,bottleneck,Human,0.502,0.7645,0.6061,964,0.4929,-0.0309,0.4472,0.4505
20260518_095612,danq,bottleneck,Denisovan,0.4608,0.2097,0.2883,925,0.4929,-0.0309,0.4472,0.4505
20260518_101826,cnn_no_pooling,DenisovanvsNeanderthal,Denisovan,0.8839,0.6309,0.7363,905,0.7812,0.5813,0.7746,0.7759
20260518_101826,cnn_no_pooling,DenisovanvsNeanderthal,Neanderthal,0.7269,0.9222,0.813,964,0.7812,0.5813,0.7746,0.7759
20260518_102709,cnn_no_pooling,HumanvsNeanderthal,Human,0.7473,0.6566,0.6991,964,0.7173,0.4379,0.7163,0.7163
20260518_102709,cnn_no_pooling,HumanvsNeanderthal,Neanderthal,0.6938,0.778,0.7335,964,0.7173,0.4379,0.7163,0.7163
﻿timestamp,model,dataset,class,precision,recall,f1,support,accuracy,mcc,macro_f1,weighted_f1
20260510_022611,cnn,DenisovanvsNeanderthal,Denisovan,0.9181,0.6066,0.7305,905,0.7833,0.5955,0.7747,0.7761
20260510_022611,cnn,DenisovanvsNeanderthal,Neanderthal,0.7199,0.9492,0.8188,964,0.7833,0.5955,0.7747,0.7761
20260510_022851,cnn,HumanvsNeanderthal,Human,0.7517,0.6846,0.7166,964,0.7293,0.4603,0.7287,0.7287
20260510_022851,cnn,HumanvsNeanderthal,Neanderthal,0.7105,0.7739,0.7408,964,0.7293,0.4603,0.7287,0.7287
20260510_023333,cnn,multiclass,Human,0.5139,0.499,0.5063,964,0.5731,0.3676,0.5606,0.5617
20260510_023333,cnn,multiclass,Denisovan,0.6841,0.4026,0.5069,909,0.5731,0.3676,0.5606,0.5617
20260510_023333,cnn,multiclass,Neanderthal,0.5703,0.8081,0.6687,964,0.5731,0.3676,0.5606,0.5617
20260510_023555,cnn,bottleneck,Human,0.6209,0.7459,0.6777,964,0.6379,0.2784,0.6323,0.6332
20260510_023555,cnn,bottleneck,Denisovan,0.6648,0.5254,0.587,925,0.6379,0.2784,0.6323,0.6332
20260510_023912,cnn,longerbp,Human,0.7019,0.477,0.568,2631,0.5894,0.2169,0.5884,0.5857
20260510_023912,cnn,longerbp,Denisovan,0.519,0.7359,0.6087,2018,0.5894,0.2169,0.5884,0.5857
20260510_024010,cnn,original,Human,0.7349,0.6157,0.6701,30059,0.642,0.2907,0.6394,0.6449
20260510_024010,cnn,original,Denisovan,0.5509,0.6798,0.6086,20847,0.642,0.2907,0.6394,0.6449
20260518_104233,cnn_no_pooling,bottleneck,Human,0.6264,0.7324,0.6753,964,0.6406,0.2825,0.6364,0.6372
20260518_104233,cnn_no_pooling,bottleneck,Denisovan,0.6614,0.5449,0.5975,925,0.6406,0.2825,0.6364,0.6372
20260518_104244,cnn_no_pooling,multiclass,Human,0.5244,0.4461,0.4821,964,0.5657,0.3592,0.5488,0.5499
20260518_104244,cnn_no_pooling,multiclass,Denisovan,0.6441,0.3982,0.4922,909,0.5657,0.3592,0.5488,0.5499
20260518_104244,cnn_no_pooling,multiclass,Neanderthal,0.5588,0.8434,0.6722,964,0.5657,0.3592,0.5488,0.5499
